FlightCode,DestinationAirport,Carrier,MaxPassengerCapacity,MaxBaggageWeight,MaxBaggageVolume,Takeoff Time (minutes)
IV6518,Airport 1,Delta AirLines,240,1268,6050000,1
NE8389,Airport 2,American Airlines,144,2674,6800000,5
VD7018,Airport 3,United Airlines,246,3585,7450000,9
BT9441,Airport 4,Delta AirLines,185,1758,11500000,6
XQ3326,Airport 5,British Airlines,229,1864,5650000,9
GC3217,Airport 6,United Airlines,242,3043,8800000,5
WJ7955,Airport 7,American Airlines,216,3590,8500000,7
ZK8692,Airport 8,Delta AirLines,128,1660,6300000,5
LQ3059,Airport 9,Delta AirLines,123,2413,13550000,8
DQ2692,Airport 10,United Airlines,219,3398,13300000,8
